StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1,Q7_2,Q8_1,Q8_2,Q9_1,Q9_2,Q10_1,Q10_2,Q11_1,Q11_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your gender?,Which Group were you in?,"On a scale of 1 to 10, do you think the AI tutor provided sufficient information for each topic? - Computer","On a scale of 1 to 10, do you think the AI tutor provided sufficient information for each topic? - Love/Relationship","On a scale of 1 to 10, do you think the information that the AI tutor provided for each topic is accurate? - Computer","On a scale of 1 to 10, do you think the information that the AI tutor provided for each topic is accurate? - Love/Relationship","On a scale of 1 to 10, please rate whether you think the information that the AI tutor provided is clear and understandable for each topic: - Computer","On a scale of 1 to 10, please rate whether you think the information that the AI tutor provided is clear and understandable for each topic: - Love/Relationship","On a scale of 1 to 10, do you think the AI tutor is knowledgeable about each topic? - Computer","On a scale of 1 to 10, do you think the AI tutor is knowledgeable about each topic? - Love/Relationship","On a scale of 1 to 10, how well do you think the AI tutor chose facts for each topic? - Computer","On a scale of 1 to 10, how well do you think the AI tutor chose facts for each topic? - Love/Relationship","On a scale of 1 to 10, to what extent do you agree with the following statement: Using the AI tutor made it easier for me to learn about this 
topic. - Computer","On a scale of 1 to 10, to what extent do you agree with the following statement: Using the AI tutor made it easier for me to learn about this 
topic. - Love/Relationship","On a scale of 1 to 10, to what extent do you agree with the following statement: The AI tutor helped me understand this topic more effectively. - Computer","On a scale of 1 to 10, to what extent do you agree with the following statement: The AI tutor helped me understand this topic more effectively. - Love/Relationship","On a scale of 1 to 10, how much do you think the AI tutor helped improve your final score on questions related to each topic? - Computer","On a scale of 1 to 10, how much do you think the AI tutor helped improve your final score on questions related to each topic? - Love/Relationship"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",{"ImportId":"status"},{"ImportId":"ipAddress"},{"ImportId":"progress"},{"ImportId":"duration"},{"ImportId":"finished"},"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",{"ImportId":"_recordId"},{"ImportId":"recipientLastName"},{"ImportId":"recipientFirstName"},{"ImportId":"recipientEmail"},{"ImportId":"externalDataReference"},{"ImportId":"locationLatitude"},{"ImportId":"locationLongitude"},{"ImportId":"distributionChannel"},{"ImportId":"userLanguage"},{"ImportId":"QID1"},{"ImportId":"QID2"},{"ImportId":"QID4_1"},{"ImportId":"QID4_2"},{"ImportId":"QID5_1"},{"ImportId":"QID5_2"},{"ImportId":"QID6_1"},{"ImportId":"QID6_2"},{"ImportId":"QID7_1"},{"ImportId":"QID7_2"},{"ImportId":"QID8_1"},{"ImportId":"QID8_2"},{"ImportId":"QID9_1"},{"ImportId":"QID9_2"},{"ImportId":"QID10_1"},{"ImportId":"QID10_2"},{"ImportId":"QID11_1"},{"ImportId":"QID11_2"}
12/9/2024 11:59,12/9/2024 12:02,IP Address,*******,100,134,TRUE,12/9/2024 12:02,R_7VwosgNkNVqZ9GE,*******,*******,*******,*******,*******,*******,anonymous,EN,Female,1,7,7,8,6,9,9,9,9,7,9,9,7,10 (completely agree),10 (completely agree),7,7
12/9/2024 11:58,12/9/2024 12:02,IP Address,*******,100,245,TRUE,12/9/2024 12:02,R_6IczFXSGFH8jjiP,*******,*******,*******,*******,*******,*******,anonymous,EN,Male,1,10 (very sufficient),8,10 (Completely Accurate),8,10 (Completely clear and understandable),10 (Completely clear and understandable),9,7,7,5,9,5,8,5,7,6
12/9/2024 12:25,12/9/2024 12:26,IP Address,*******,100,68,TRUE,12/9/2024 12:26,R_51mSiJAO8siVvI2,*******,*******,*******,*******,*******,*******,anonymous,EN,Male,1,9,7,6,7,7,7,8,8,7,7,7,7,7,7,7,7
12/9/2024 12:52,12/9/2024 12:55,IP Address,*******,100,140,TRUE,12/9/2024 12:55,R_5N4wdpINQrEEslo,*******,*******,*******,*******,*******,*******,anonymous,EN,Female,1,7,6,10 (Completely Accurate),10 (Completely Accurate),8,8,5,4,5,5,8,4,6,5,6,6
12/9/2024 13:08,12/9/2024 13:09,IP Address,*******,100,77,TRUE,12/9/2024 13:09,R_3R4PLcYF6JDXnSF,*******,*******,*******,*******,*******,*******,anonymous,EN,Female,1,6,6,6,6,6,6,7,7,6,6,5,5,5,5,5,5
12/9/2024 13:37,12/9/2024 13:40,IP Address,*******,100,155,TRUE,12/9/2024 13:40,R_3nxwzs0IfISIPEx,*******,*******,*******,*******,*******,*******,anonymous,EN,Male,1,10 (very sufficient),10 (very sufficient),10 (Completely Accurate),10 (Completely Accurate),7,5,10 (AI tutor is an expert on this topic),10 (AI tutor is an expert on this topic),9,8,1(Completely disagree),1(Completely disagree),1(Completely disagree),1(Completely disagree),6,7
12/9/2024 13:48,12/9/2024 13:50,IP Address,*******,100,160,TRUE,12/9/2024 13:50,R_38nLYVZDM5RHHgJ,*******,*******,*******,*******,*******,*******,anonymous,EN,Female,1,7,7,8,8,10 (Completely clear and understandable),10 (Completely clear and understandable),8,8,8,8,5,5,4,4,7,7
12/10/2024 12:33,12/10/2024 12:35,IP Address,*******,100,105,TRUE,12/10/2024 12:35,R_3AZtd1gdfIVdHcT,*******,*******,*******,*******,*******,*******,anonymous,EN,Female,1,6,4,6,6,7,4,7,5,7,5,8,5,6,4,7,4
